id,journal_abbr,year,auto_code,llm_code,llm_reason
35398048,Arch Phys Med Rehabil,2022,INCORRECT,INCORRECT,Normality test applied to pooled/raw numerical data without specifying groups or residuals.
37037293,Arch Phys Med Rehabil,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
29107041,Arch Phys Med Rehabil,2018,INCORRECT,INCORRECT,Normality test applied to pooled/raw data without specifying residuals or groups.
36854349,Arch Phys Med Rehabil,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
33711281,Arch Phys Med Rehabil,2022,INCORRECT,INCORRECT,Data were tested for normality without specifying residuals or groups.
34090853,Arch Phys Med Rehabil,2022,INCORRECT,INCORRECT,"No specific target mentioned, assumes pooled/raw data."
34090854,Arch Phys Med Rehabil,2022,INCORRECT,INCORRECT,"Normality test applied to pooled TAI-Q scores, not residuals or per-group."
32113974,Arch Phys Med Rehabil,2020,INCORRECT,INCORRECT,"Tests applied to pooled Z-scores, not residuals or per-group."
33711279,Arch Phys Med Rehabil,2021,INCORRECT,INCORRECT,"Tests applied to pooled/raw variables, not residuals or per-group."
31778661,Arch Phys Med Rehabil,2020,CORRECT,CORRECT,Normality test applied to residuals of the final model.
28760574,Arch Phys Med Rehabil,2018,INCORRECT,INCORRECT,Normality test applied to unqualified 'study data'.
34748757,Arch Phys Med Rehabil,2022,INCORRECT,INCORRECT,Data distributions assessed without specifying residuals or per-group.
27693420,Arch Phys Med Rehabil,2017,INCORRECT,INCORRECT,"Normality tests applied to unqualified 'data', not residuals or per-group."
26836953,Arch Phys Med Rehabil,2016,INCORRECT,INCORRECT,"Normality test applied to pooled ACGC T-scores, not residuals or per-group."
29653108,Arch Phys Med Rehabil,2018,INCORRECT,INCORRECT,"Normality test applied to pooled/raw outcome data, not residuals or per-group."
28751255,Arch Phys Med Rehabil,2018,INCORRECT,UNCLEAR,No clear target for normality test described.
30148995,Arch Phys Med Rehabil,2019,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
27530769,Arch Phys Med Rehabil,2017,INCORRECT,UNCLEAR,No specific target for normality test mentioned.
28279660,Arch Phys Med Rehabil,2017,INCORRECT,INCORRECT,Data tested without specifying residuals or per-group analysis.
28610969,Arch Phys Med Rehabil,2017,INCORRECT,INCORRECT,Normality test applied to pooled/raw data without specifying groups or residuals.
28576629,Arch Phys Med Rehabil,2017,INCORRECT,INCORRECT,Normality checked on data without specifying residuals or groups.
28322758,Arch Phys Med Rehabil,2017,INCORRECT,INCORRECT,Normality test applied to pooled data without residuals or per-group specification.
28007444,Arch Phys Med Rehabil,2017,INCORRECT,INCORRECT,Normality test applied to outcome measures without specifying residuals or groups.
26763949,Arch Phys Med Rehabil,2016,INCORRECT,INCORRECT,Normality tested on data without specifying residuals or per-group.
26392035,Arch Phys Med Rehabil,2016,INCORRECT,INCORRECT,Normality test applied to pooled/raw data without specifying residuals or groups.
27590443,Arch Phys Med Rehabil,2017,INCORRECT,INCORRECT,"Normality test applied to pooled/raw outcome data, not residuals or per-group."
26711169,Arch Phys Med Rehabil,2016,INCORRECT,UNCLEAR,
26836952,Arch Phys Med Rehabil,2016,CORRECT,CORRECT,"Normality assessed on residuals, which is correct."
38439657,Clin Rehabil,2024,INCORRECT,INCORRECT,"Tests applied to pooled/raw data, not residuals or per-group."
37487188,Clin Rehabil,2023,INCORRECT,INCORRECT,"Tests applied to all continuous variables, not residuals or per-group."
38656174,Clin Rehabil,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
38676324,Clin Rehabil,2024,INCORRECT,INCORRECT,"Normality test applied to variables, not residuals or per-group."
38631370,Clin Rehabil,2024,INCORRECT,INCORRECT,"Shapiro-Wilk test on unqualified 'data', not residuals or per-group."
36638533,Clin Rehabil,2023,INCORRECT,INCORRECT,Data tested without specifying residuals or per-group analysis.
35678610,Clin Rehabil,2022,INCORRECT,INCORRECT,"Tests applied to variables, not residuals or per-group."
35313751,Clin Rehabil,2022,INCORRECT,UNCLEAR,No specific target for normality test mentioned.
36380681,Clin Rehabil,2023,INCORRECT,INCORRECT,Normality test applied to unqualified 'data distribution'.
30012033,Clin Rehabil,2018,INCORRECT,INCORRECT,"Tests normality on unqualified 'data', not residuals or per-group."
35473371,Clin Rehabil,2022,INCORRECT,INCORRECT,
36154313,Clin Rehabil,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
34132109,Clin Rehabil,2021,INCORRECT,INCORRECT,"Shapiro–Wilk test on unqualified 'data', not residuals or per-group."
35702004,Clin Rehabil,2022,INCORRECT,INCORRECT,Normality evaluated without specifying residuals or per-group data.
33172299,Clin Rehabil,2021,INCORRECT,INCORRECT,"Normality test applied to raw scores, not residuals or per-group."
33781101,Clin Rehabil,2021,INCORRECT,INCORRECT,Shapiro-Wilk test on data without specifying residuals or groups.
28895427,Clin Rehabil,2018,INCORRECT,MIXED,Tests on residuals (quality-of-life) and pooled data (stigma scales).
32942914,Clin Rehabil,2021,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
29232980,Clin Rehabil,2018,INCORRECT,INCORRECT,"Tests applied to all variables, not residuals or per-group."
32476455,Clin Rehabil,2020,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
27496700,Clin Rehabil,2016,INCORRECT,INCORRECT,"Tests applied to pooled/raw data, not residuals or per-group."
28750549,Clin Rehabil,2018,CORRECT,CORRECT,Residuals were checked for normality using Shapiro-Wilk test.
27496697,Clin Rehabil,2016,INCORRECT,INCORRECT,"Normality test applied to raw AMPSIMM scores, not residuals or per-group."
28730849,Clin Rehabil,2018,INCORRECT,INCORRECT,Data tested without specifying residuals or per-group analysis.
25819076,Clin Rehabil,2016,INCORRECT,INCORRECT,"Normality test on pooled/raw scores, not residuals or per-group."
37073780,Disabil Rehabil,2024,INCORRECT,INCORRECT,"Normality test applied to pooled/raw variables, not residuals or per-group."
35723056,Disabil Rehabil,2023,INCORRECT,INCORRECT,"Normality test applied to score distributions, not residuals or per-group."
36533430,Disabil Rehabil,2023,INCORRECT,INCORRECT,"Normality checked on continuous variables, not residuals or per-group."
25598213,Disabil Rehabil,2015,INCORRECT,INCORRECT,"Tests applied to variables, not residuals or per-group data."
29987963,Disabil Rehabil,2019,INCORRECT,ACCEPTABLE,"Normality tested for each individual set of data, not residuals or pooled."
31155969,Disabil Rehabil,2021,INCORRECT,INCORRECT,Raw data checked without specifying residuals or per-group testing.
26972087,Disabil Rehabil,2017,INCORRECT,INCORRECT,"Normality tested on pooled/raw data, not residuals or per-group."
28637129,Disabil Rehabil,2018,INCORRECT,INCORRECT,"Normality checked on all continuous variables, not residuals or per-group."
39073359,Eur J Phys Rehabil Med,2024,CORRECT,CORRECT,"Normality test applied to residuals, not pooled data."
38551519,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality test applied to variables, not residuals or per-group."
39441113,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,Data tested without specifying residuals or per-group analysis.
38743389,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Shapiro-Wilk Test on unqualified 'outcomes', not residuals or per-group."
39291952,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,Normality test applied to variables without specifying residuals or groups.
39374049,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
38577727,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
39235254,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Shapiro-Wilk Test on non-normal continuous variables, not residuals or per-group."
39007786,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality assessed on pooled/raw data, not residuals or per-group."
37847247,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to continuous variables, not residuals or per-group."
38743390,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,Shapiro-Wilk test applied to data without specifying residuals or groups.
38922315,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,Shapiro-Wilk Test applied to data without specifying residuals or groups.
39441111,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality checked on variables, not residuals or per-group."
38483333,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality test applied to all parameters, not residuals or per-group."
38483332,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"No specific target mentioned, assumes pooled/raw data."
38193722,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,Data tested without specifying residuals or per-group analysis.
38888734,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,Tests applied to data without specifying residuals or groups.
38814197,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality test applied to variables, not residuals or per-group."
38647533,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
37869760,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
38483331,Eur J Phys Rehabil Med,2024,MIXED,MIXED,Tests on residuals and unqualified continuous variables.
38332698,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,Normality test applied to pooled/raw data without specifying groups or residuals.
38551521,Eur J Phys Rehabil Med,2024,ACCEPTABLE,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
37997324,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Tests applied to parameters, not residuals or per-group."
37226445,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,Unqualified statement about testing data normality.
38298025,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Shapiro-Wilk applied to unqualified 'data', not residuals or per-group."
37934189,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Tests applied to raw data, not residuals or per-group."
36940179,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Tests for normality applied to all variables, not residuals or per-group."
37869759,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality assessed on unqualified 'data', not residuals or per-group."
36637800,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,Normality test applied to unqualified 'distributions'.
38483335,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality test applied to pooled/raw outcome data, not residuals or per-group."
38358464,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality assessed on variables, not residuals or per-group."
36940180,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
37377129,Eur J Phys Rehabil Med,2023,INCORRECT,MIXED,Tests on residuals and unqualified 'data' mentioned.
36094367,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,"Normality test applied to pooled/raw variables, not residuals or per-group."
37350165,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
37083100,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to pooled/raw outcome data, not residuals or per-group."
37184413,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Unqualified mention of 'data', not residuals or per-group."
35666490,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,"Normality assessed on unqualified 'data', not residuals or per-group."
36700245,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,Normality test applied to all data without specifying residuals or groups.
38814196,Eur J Phys Rehabil Med,2024,INCORRECT,INCORRECT,"Normality test on unqualified 'data', not residuals or per-group."
36598343,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to each variable, not residuals or per-group."
37539778,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test on pooled/raw continuous variables, not residuals or per-group."
36052892,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,"Normality test applied to unqualified 'variables', not residuals or per-group."
36511168,Eur J Phys Rehabil Med,2023,INCORRECT,UNCLEAR,No specific target for normality test mentioned.
35904308,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,Unqualified statement about testing data for normality.
36633498,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality tested on variables, not residuals or per-group."
35634888,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,"Shapiro-Wilk test on unqualified 'data', not residuals or per-group."
36052890,Eur J Phys Rehabil Med,2022,CORRECT,CORRECT,Normality assessed on residuals using Q-Q plots and Shapiro-Wilk test.
36052889,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,Unqualified statement about testing data normality.
36723055,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to pooled/raw continuous data, not residuals or per-group."
34468111,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
36598342,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to pooled/raw dependent variables, not residuals or per-group."
34985236,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
35666489,Eur J Phys Rehabil Med,2022,ACCEPTABLE,INCORRECT,"Normality test applied to pooled variables, not residuals or per-group."
35412037,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
34498832,Eur J Phys Rehabil Med,2022,INCORRECT,ACCEPTABLE,
34652084,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
34196161,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
34605619,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
34985237,Eur J Phys Rehabil Med,2022,MIXED,CORRECT,
34786906,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
34870387,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
35191654,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
34498833,Eur J Phys Rehabil Med,2022,INCORRECT,INCORRECT,
36305651,Eur J Phys Rehabil Med,2023,INCORRECT,INCORRECT,"Normality test applied to pooled data, not residuals or per-group."
32935956,Eur J Phys Rehabil Med,2020,INCORRECT,INCORRECT,Unqualified statement about testing the variable for normality.
39493681,J Phys Ther Sci,2024,INCORRECT,INCORRECT,Data tested without specifying residuals or per-group.
37131347,J Phys Ther Sci,2023,INCORRECT,ACCEPTABLE,Normality tested separately within each group or side.
39493684,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
39624349,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Tests normality on raw variables, not residuals or per-group."
39493682,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test on unqualified 'data', not residuals or per-group."
39493689,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to pooled/raw outcome data, not residuals or per-group."
39624347,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
39493688,J Phys Ther Sci,2024,INCORRECT,INCORRECT,Normality test applied to unqualified 'data distribution'.
38952460,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test on pooled/raw continuous variables, not residuals or per-group."
38562534,J Phys Ther Sci,2024,ACCEPTABLE,ACCEPTABLE,Normality tested separately for men and women groups.
37131356,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality tested on analyzed data, not residuals or per-group."
39239422,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Shapiro-Wilk test applied to pooled/raw data, not residuals or per-group."
37405187,J Phys Ther Sci,2023,INCORRECT,INCORRECT,Normality test applied to pooled data without group distinction.
35400839,J Phys Ther Sci,2022,INCORRECT,INCORRECT,Data normality tested without specifying residuals or per-group.
39354923,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to variables, not residuals or per-group."
39354931,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to each measurement item, not residuals or per-group."
37915454,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to overall data, not residuals or per group."
39493680,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
39092411,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
39239403,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test on pooled/raw variables, not residuals or per-group."
39624344,J Phys Ther Sci,2024,INCORRECT,INCORRECT,Normality test applied to all data without specifying residuals or groups.
39624351,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
39092414,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality tested on results, not residuals or per-group."
39092417,J Phys Ther Sci,2024,INCORRECT,INCORRECT,Data checked without specifying residuals or groups.
38694008,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to variables, not residuals or per-group."
39092420,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test on pooled/raw variables, not residuals or per-group."
37915458,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
39239416,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Shapiro–Wilk test on all data, not residuals or per-group."
39239408,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality tested on data, not residuals or per-group."
37131344,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'distribution', not residuals or per-group."
39239404,J Phys Ther Sci,2024,INCORRECT,INCORRECT,Data tested without specifying residuals or per-group analysis.
38562531,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Tests applied to pooled data, not residuals or per-group."
38694018,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Tests normality on pooled/raw variables, not residuals or per-group."
38562533,J Phys Ther Sci,2024,INCORRECT,INCORRECT,Unqualified statement about testing variables for normality.
39239413,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to all data, not residuals or per-group."
35400833,J Phys Ther Sci,2022,INCORRECT,INCORRECT,Shapiro–Wilk test applied to pooled data without specifying residuals or groups.
33519073,J Phys Ther Sci,2021,INCORRECT,INCORRECT,"Data tested as a whole, not residuals or per-group."
34658512,J Phys Ther Sci,2021,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
38694016,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"No clear target mentioned, implies pooled/raw data."
38694006,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
38832220,J Phys Ther Sci,2024,INCORRECT,UNCLEAR,No clear target for normality test described.
37266368,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
38434992,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
33814712,J Phys Ther Sci,2021,INCORRECT,ACCEPTABLE,"Normality tested for each index, not residuals or pooled data."
38434995,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Unqualified statement about normality test on data, not residuals or per-group."
35784603,J Phys Ther Sci,2022,ACCEPTABLE,ACCEPTABLE,"Normality tested within groups, not residuals or pooled data."
36744197,J Phys Ther Sci,2023,INCORRECT,INCORRECT,Shapiro–Wilk test applied to data without specifying residuals or groups.
37915457,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality assessed on pooled/raw data, not residuals or per-group."
37529060,J Phys Ther Sci,2023,INCORRECT,INCORRECT,Unqualified statement about testing data for normality.
37791000,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to raw quantitative variables, not residuals or per-group."
37266355,J Phys Ther Sci,2023,INCORRECT,ACCEPTABLE,"Normality checked within each tilt direction and site, not residuals or pooled data."
36337217,J Phys Ther Sci,2022,INCORRECT,INCORRECT,"Normality test on unqualified 'data', not residuals or per-group."
38694004,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
38832215,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
37405184,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to pooled data, not residuals or per-group."
38304149,J Phys Ther Sci,2024,INCORRECT,INCORRECT,Normality test applied to pooled/raw data without specifying residuals or groups.
37529059,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
36866016,J Phys Ther Sci,2023,INCORRECT,INCORRECT,Normality test applied to raw data without specifying residuals or groups.
38075512,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality assessed on unqualified 'data', not residuals or per-group."
38075513,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
37670756,J Phys Ther Sci,2023,INCORRECT,UNCLEAR,No clear target for normality test mentioned.
36628139,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to pooled/raw measures, not residuals or per-group."
35291478,J Phys Ther Sci,2022,ACCEPTABLE,INCORRECT,Normality test applied to data without specifying residuals or groups.
38434998,J Phys Ther Sci,2024,INCORRECT,INCORRECT,"Normality test on unqualified 'data', not residuals or per-group."
37915451,J Phys Ther Sci,2023,INCORRECT,INCORRECT,Normality test applied to pooled/raw data without specifying residuals or groups.
37266359,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
36507081,J Phys Ther Sci,2022,INCORRECT,INCORRECT,Data tested without specifying residuals or per-group analysis.
37131349,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test on unqualified 'data set', not residuals or per-group."
35400841,J Phys Ther Sci,2022,INCORRECT,INCORRECT,"Normality test applied to pooled data, not residuals or per-group."
36866006,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality assessed on unqualified 'data', not residuals or per-group."
36866008,J Phys Ther Sci,2023,INCORRECT,INCORRECT,Data normality assessed without specifying residuals or groups.
35400832,J Phys Ther Sci,2022,INCORRECT,INCORRECT,"Normality test applied to pooled data, not residuals or per-group."
37266357,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
37131350,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to unqualified 'data', not residuals or per-group."
35035071,J Phys Ther Sci,2022,INCORRECT,INCORRECT,"Normality test applied to pooled/raw parameters, not residuals or per-group."
36866021,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality assessed on unqualified 'data', not residuals or per-group."
35221518,J Phys Ther Sci,2022,INCORRECT,INCORRECT,Normality checked on variables without specifying residuals or groups.
35291473,J Phys Ther Sci,2022,INCORRECT,INCORRECT,"Normality test applied to pooled/raw data, not residuals or per-group."
36866012,J Phys Ther Sci,2023,INCORRECT,INCORRECT,"Normality test applied to pooled data, not residuals or per-group."
